id,name,current_domain,current_website,current_industry,current_city,current_state,city,state,country,website,domain,industry,confidence,source,notes,action
4aec9ff4-273c-41e0-af6c-b86515b93f6a,11 Tribes,,,,,,Oakbrook Terrace,IL,United States,https://11tribes.vc,11tribes.vc,Venture Capital,high,11tribes.vc + crunchbase,"Full name is 11 Tribes Ventures; early-stage fund focused on diverse founders. HQ: 1 Mid America Plaza 3rd Floor, Oakbrook Terrace, IL 60181.",apply
2cbe5696-a854-49a1-9f81-d6be99d74458,13fi,13fi.com,https://13fi.com,,,,Miami,FL,United States,,,Real Estate,high,dnb.com + zoominfo.com + 13fi.com/about,"13th Floor Investments — boutique real estate investment and development firm focused on value-add transactions in Florida and the Southeast US. HQ at 848 Brickell Ave Ph 1, Miami, FL 33131.",apply
08b2ced8-8ed5-4237-95ea-f803ce0d8c9b,186ventures,186ventures.com,https://186ventures.com,,,,Boston,MA,United States,,,Venture Capital,high,"crunchbase.com, massinvestordatabase.com","Pre-seed & seed stage VC firm, 131 Dartmouth St., 3rd Floor, Boston, MA 02116.",apply
0aff8f30-09b4-4cca-84fc-8182f943050f,25madison - Bringing Applied AI to Legacy Industries,25madison.com,,,,,New York,NY,United States,https://www.25madison.com,,Venture Capital,high,"25madison.com, tracxn, cbinsights",Studio + venture + buyout firm focused on AI modernization of legacy companies. HQ New York City.,apply
c1174650-14f4-489b-b730-21e9665a58db,412 Fund,,,,,,Pittsburgh,PA,United States,https://www.412venturefund.com,412venturefund.com,Venture Capital,high,412venturefund.com + crunchbase,"Full name is 412 Venture Fund; HQ at 625 Liberty Ave, Pittsburgh, PA 15222. Area code 412 refers to Pittsburgh.",apply
adc99fbb-04d4-40f3-81b8-1fd6b93cf5f3,500 Startups,,,,,,San Francisco,CA,United States,https://500.co/,500.co,Venture Capital,high,Wikipedia (500 Global); 500.co,"Now rebranded as 500 Global. HQ San Francisco, CA. Website 500.co.",apply
ebb094bd-286f-4a87-a525-cabc67f6a988,640 Oxford,,,,,,Detroit,MI,United States,https://640oxford.com,640oxford.com,Venture Capital,high,crainsdetroit.com + michiganvca.org + 640oxford.com,"Michigan-based VC firm; office at Newlab at Michigan Central, Detroit. Also listed as West Bloomfield in some older sources; Detroit/Newlab is the confirmed active location per Crain's Detroit Business (2024).",apply
8885c9d4-d4ba-444d-ae8f-f2512b3939f4,776,,,,,,Jupiter,FL,United States,https://sevensevensix.com,sevensevensix.com,Venture Capital,high,https://sevensevensix.com,"Seven Seven Six (776), founded by Alexis Ohanian. Registered HQ in Jupiter, FL (6671 W. Indiantown Road, Suite 50-183). Signed NYC office lease at 216 Lafayette St in 2025 but primary HQ remains Jupiter, FL.",apply
a91d9124-2721-4e2e-96b7-86bf11f95c07,8-Bit Capital,8bitcapital.com,,,,,San Francisco,CA,United States,https://8bitcapital.com,,Venture Capital,high,crunchbase + 8bitcapital.com,"Early-stage VC firm founded by Jonathan Abrams; HQ at 548 Market Street PMB 63932, San Francisco, CA 94104.",apply
42e1caba-fb59-4631-b829-26b85d5c3913,A.Capital,,,,,,San Francisco,CA,United States,https://www.acapital.com,acapital.com,Venture Capital,high,https://www.zoominfo.com/c/acapital-ventures/354361863,"A.Capital Ventures, founded by Ronny Conway and Ramu Arunachalam in 2014. Office at 100 Pine Street, Suite 3300, San Francisco, CA.",apply
7b0fb77c-5ba0-4a49-a4c0-7bfe2539d36a,a16z,,,,,,Menlo Park,CA,United States,https://a16z.com,a16z.com,Venture Capital,high,a16z.com + wikipedia,"Andreessen Horowitz (a16z); flagship HQ at 2865 Sand Hill Road, Menlo Park, CA 94025.",apply
a8359b23-2833-4730-b9a7-053faddd483c,Aardvarkintel,aardvarkintel.com,,,,,New York,NY,USA,https://www.aardvarkintel.com,,AI,high,https://www.aardvarkintel.com/contact,"Aardvark Intelligence — generative AI for enterprise knowledge management. HQ: 408 Broadway, New York, NY 10013. Microsoft for Startups partner.",apply
7b62f00a-757c-4050-8318-50248ffa4c20,Accelerator Ventures,,,,,,Miami,FL,United States,https://www.acceleratorventures.com,acceleratorventures.com,Venture Capital,med,"crunchbase, acceleratorventures.com","Multiple sources confirm Miami, FL HQ. Earlier references to San Francisco appear outdated.",apply
d67cfe5f-169f-4384-8578-0cb2888e5e0b,Accomplice,,,,,,Boston,MA,United States,https://accomplice.co,accomplice.co,Venture Capital,high,accomplice.co + crunchbase,"Also known as Accomplice VC; seed-stage VC firm; HQ at 56 Wareham Street Floor 3, Boston, MA 02118.",apply
4adf791c-4195-4c92-99a1-37f94db8be1c,Acp,acp.vc,https://acp.vc,,,,Boston,MA,United States,,,Venture Capital,high,"crunchbase.com, zoominfo.com","Asymmetric Capital Partners, pre-seed/seed VC, headquartered at 11 Arlington St, Boston, MA 02116.",apply
519a237c-b460-4f31-9405-2bfab2e9e577,Acre,,,,,,,,United Kingdom,https://www.acre.software/,acre.software,FinTech,foreign,"siliconcanals.com, thefintechtimes.com, pitchbook.com","London, UK-based FinTech SaaS for mortgage and protection brokers. Founded 2018. No domain was given; best match is Acre (Financial Software) based in London — confirmed foreign. Website inferred from LinkedIn/PitchBook profile reference to acre.software.",apply
